,curDur,Gap,WMSize,mu_r,Exp,NSub
336,0.9400000000000001,0.5,5.0,0.9319093673554174,Encoding,1
337,0.9500000000000001,0.5,5.0,0.9354062023649077,Encoding,1
338,0.9600000000000001,0.5,5.0,0.9388793363734679,Encoding,1
339,0.9700000000000001,0.5,5.0,0.9423291744223773,Encoding,1
340,0.98,0.5,5.0,0.9457561105399491,Encoding,1
341,0.99,0.5,5.0,0.9491605281499418,Encoding,1
342,1.0,0.5,5.0,0.9525428004608645,Encoding,1
343,1.01,0.5,5.0,0.9559032908372538,Encoding,1
344,1.02,0.5,5.0,0.959242353153923,Encoding,1
345,1.03,0.5,5.0,0.9625603321341265,Encoding,1
346,1.04,0.5,5.0,0.9658575636725169,Encoding,1
347,1.05,0.5,5.0,0.9691343751437177,Encoding,1
348,1.06,0.5,5.0,0.9723910856972848,Encoding,1
349,1.07,0.5,5.0,0.9756280065397759,Encoding,1
350,1.08,0.5,5.0,0.9788454412046099,Encoding,1
351,1.09,0.5,5.0,0.982043685810351,Encoding,1
352,1.1,0.5,5.0,0.9852230293080144,Encoding,1
353,1.1099999999999999,0.5,5.0,0.9883837537179585,Encoding,1
354,1.12,0.5,5.0,0.9915261343568877,Encoding,1
355,1.13,0.5,5.0,0.9946504400554663,Encoding,1
356,1.1400000000000001,0.5,5.0,0.9977569333670107,Encoding,1
357,1.15,0.5,5.0,1.0008458707676977,Encoding,1
358,1.1600000000000001,0.5,5.0,1.0039175028487102,Encoding,1
359,1.17,0.5,5.0,1.006972074500703,Encoding,1
360,1.1800000000000002,0.5,5.0,1.0100098250909693,Encoding,1
361,1.19,0.5,5.0,1.0130309886336442,Encoding,1
362,1.2000000000000002,0.5,5.0,1.0160357939532854,Encoding,1
363,1.21,0.5,5.0,1.0190244648421347,Encoding,1
364,1.2200000000000002,0.5,5.0,1.0219972202113579,Encoding,1
365,1.23,0.5,5.0,1.024954274236539,Encoding,1
366,1.24,0.5,5.0,1.027895836497695,Encoding,1
367,1.25,0.5,5.0,1.0308221121140548,Encoding,1
368,1.26,0.5,5.0,1.0337333018738448,Encoding,1
369,1.27,0.5,5.0,1.0366296023592974,Encoding,1
370,1.28,0.5,5.0,1.039511206067101,Encoding,1
371,1.29,0.5,5.0,1.0423783015244859,Encoding,1
372,1.3,0.5,5.0,1.0452310734011419,Encoding,1
373,1.31,0.5,5.0,1.048069702617144,Encoding,1
374,1.32,0.5,5.0,1.050894366447061,Encoding,1
375,1.33,0.5,5.0,1.0537052386204075,Encoding,1
376,1.34,0.5,5.0,1.0565024894185968,Encoding,1
377,1.35,0.5,5.0,1.059286285768537,Encoding,1
378,1.3599999999999999,0.5,5.0,1.062056791333018,Encoding,1
379,1.37,0.5,5.0,1.0648141665980135,Encoding,1
380,1.38,0.5,5.0,1.0675585689570328,Encoding,1
381,1.3900000000000001,0.5,5.0,1.0702901527926367,Encoding,1
382,1.4,0.5,5.0,1.0730090695552361,Encoding,1
383,1.4100000000000001,0.5,5.0,1.0757154678392813,Encoding,1
384,1.42,0.5,5.0,1.0784094934569468,Encoding,1
385,1.4300000000000002,0.5,5.0,1.08109128950941,Encoding,1
386,1.44,0.5,5.0,1.083760996455819,Encoding,1
387,1.4500000000000002,0.5,5.0,1.086418752180042,Encoding,1
388,1.46,0.5,5.0,1.0890646920552793,Encoding,1
389,1.4700000000000002,0.5,5.0,1.0916989490066278,Encoding,1
390,1.48,0.5,5.0,1.094321653571668,Encoding,1
391,1.4900000000000002,0.5,5.0,1.0969329339591565,Encoding,1
392,1.5,0.5,5.0,1.099532916105891,Encoding,1
393,1.5100000000000002,0.5,5.0,1.1021217237318173,Encoding,1
394,1.52,0.5,5.0,1.1046994783934445,Encoding,1
395,1.5300000000000002,0.5,5.0,1.1072662995356326,Encoding,1
396,1.54,0.5,5.0,1.1098223045418074,Encoding,1
397,1.5500000000000003,0.5,5.0,1.1123676087826673,Encoding,1
398,1.56,0.5,5.0,1.1149023256634294,Encoding,1
399,1.5699999999999998,0.5,5.0,1.1174265666696752,Encoding,1
400,1.58,0.5,5.0,1.1199404414118397,Encoding,1
401,1.5899999999999999,0.5,5.0,1.122444057668395,Encoding,1
402,1.6,0.5,5.0,1.124937521427776,Encoding,1
403,1.6099999999999999,0.5,5.0,1.1274209369290904,Encoding,1
404,1.62,0.5,5.0,1.1298944067016559,Encoding,1
405,1.63,0.5,5.0,1.1323580316034052,Encoding,1
406,1.6400000000000001,0.5,5.0,1.134811910858201,Encoding,1
407,1.65,0.5,5.0,1.1372561420920926,Encoding,1
408,1.6600000000000001,0.5,5.0,1.139690821368556,Encoding,1
409,1.67,0.5,5.0,1.1421160432227477,Encoding,1
410,1.6800000000000002,0.5,5.0,1.1445319006948098,Encoding,1
411,1.69,0.5,5.0,1.1469384853622533,Encoding,1
412,1.7000000000000002,0.5,5.0,1.149335887371454,Encoding,1
413,1.71,0.5,5.0,1.1517241954682893,Encoding,1
414,1.7200000000000002,0.5,5.0,1.154103497027944,Encoding,1
415,1.73,0.5,5.0,1.1564738780839117,Encoding,1
416,1.7400000000000002,0.5,5.0,1.158835423356221,Encoding,1
417,1.75,0.5,5.0,1.1611882162789062,Encoding,1
418,1.7600000000000002,0.5,5.0,1.1635323390267525,Encoding,1
419,1.77,0.5,5.0,1.1658678725413358,Encoding,1
420,1.7800000000000002,0.5,5.0,1.16819489655638,Encoding,1
421,1.79,0.5,5.0,1.1705134896224527,Encoding,1
422,1.8,0.5,5.0,1.172823729131024,Encoding,1
423,0.4,0.5,1.0,0.7013445961696317,Encoding,1
424,0.41000000000000003,0.5,1.0,0.7081866028469677,Encoding,1
425,0.42000000000000004,0.5,1.0,0.7149280748726553,Encoding,1
426,0.43000000000000005,0.5,1.0,0.721572831570087,Encoding,1
427,0.44,0.5,1.0,0.7281244622891403,Encoding,1
428,0.45,0.5,1.0,0.7345863451341321,Encoding,1
429,0.46,0.5,1.0,0.740961663786718,Encoding,1
430,0.47000000000000003,0.5,1.0,0.7472534226545072,Encoding,1
431,0.48000000000000004,0.5,1.0,0.7534644605439165,Encoding,1
432,0.49,0.5,1.0,0.759597463028622,Encoding,1
433,0.5,0.5,1.0,0.7656549736619975,Encoding,1
434,0.51,0.5,1.0,0.7716394041624299,Encoding,1
435,0.52,0.5,1.0,0.7775530436837974,Encoding,1
436,0.53,0.5,1.0,0.7833980672692101,Encoding,1
437,0.54,0.5,1.0,0.7891765435739476,Encoding,1
438,0.55,0.5,1.0,0.7948904419330683,Encoding,1
439,0.56,0.5,1.0,0.800541638840149,Encoding,1
