"","NSub","Exp","model","sig_s2","ks","ls","ts","kr","sig_mn2","mu_pr_log","sig_pr2_log","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","se_waic.1","log_lik_sum","log_lik_mean"
"50",2,"Exp4","Exp4",0.0125176953996347,0.404673205533476,0.00182561330734744,0.00196830204520848,0.170788220346294,0.00894387994707257,0.0140176249683766,0.0225679927274651,159.473404997414,304.324987955902,-79.7367024987069,4.53778301528762,2.17261935221314,-87.2341039780706,180.971233468159,1.60378228017367,0.404975336699579,43.6170519890353,1.60378228017367,168.879668798932,0.469110191108145
"51",3,"Exp4","Exp4",0.0467352064435992,0.430047355634421,0.0322776138667281,0.00737725475487583,0.173640226639117,0.00233582635236031,-0.208626428066204,0.0671450833366179,355.706316041835,301.048960960632,-177.853158020917,6.91770750642604,2.33603450823103,110.875069758831,178.63333781913,5.22415843707345,0.382512653107297,-55.4375348794157,5.22415843707345,68.1940029674915,0.191556188110931
"52",4,"Exp4","Exp4",0.0807630884763744,0.420571602111752,0.0539857627762968,0.0130044128663768,0.0994416203232097,0.00394039109165494,-0.113490806310778,0.0657154693811173,439.50893613163,302.864080156154,-219.754468065815,5.53118441564051,2.25647506534128,192.212843098274,179.216033639476,3.10868994535024,0.406027765226884,-96.1064215491372,3.10868994535024,28.0139008734656,0.0786907327906338
"53",5,"Exp4","Exp4",0.0171141787631148,0.327224667449007,0.0156199251147763,0.00265107708955286,0.111076450133523,0.0249220956084633,0.184310896223539,0.0380211412953191,466.879189536077,304.409878208884,-233.439594768039,4.62718579116105,2.1600598416038,219.36624306554,180.653404973616,1.97080416989271,0.410403962747946,-109.68312153277,1.97080416989271,15.2988640860925,0.0424968446835901
"54",6,"Exp4","Exp4",0.0101328927314124,0.326233125533136,0.00989277518596491,0.00159605131200084,0.251191851405072,0.00222661469699918,-0.132736815858067,0.0904345882007185,186.953293390188,302.36548496498,-93.4766466950939,11.1765600814748,2.18247658239612,-55.8741656544671,180.951755442653,10.1768112251426,0.389654003250869,27.9370828272335,10.1768112251426,153.000751409617,0.426185937074141
"55",7,"Exp4","Exp4",0.0293785006490054,0.447786011437554,0.00374518522433169,0.00474730102416359,0.315292283610224,0.000935767726207093,0.122435981802878,0.348489677324085,478.46467738514,305.810808384856,-239.23233869257,13.8082768069519,2.13068385819562,227.589575447135,180.373257415853,13.1885283288358,0.397751405396833,-113.794787723567,13.1885283288358,11.1184583983734,0.0309706362071682
"56",8,"Exp4","Exp4",0.00788406661846302,0.32765673485238,0.00285050089118172,0.00125807502273243,0.167823331624538,0.0359004345709726,0.133838558874228,0.0219767568788672,439.711739142492,303.867434871447,-219.855869571246,6.26781528904717,2.15463659717679,194.05551185615,181.039321228277,4.49332249954747,0.389792761878411,-97.0277559280751,4.49332249954747,28.3110373690254,0.078641770469515
"57",9,"Exp4","Exp4",0.024686342102669,0.43268709004361,0.0068837499891845,0.00398322202301782,0.259130881040865,0.0562944198448939,0.186584535183889,0.0766477791828478,702.61699279894,300.891104737808,-351.30849639947,4.88720564632921,2.23585656297862,459.548843260958,179.357029968817,2.25680998305834,0.376478732032045,-229.774421630479,2.25680998305834,-105.69655367439,-0.296068777799412
"58",10,"Exp4","Exp4",0.0218988118308721,0.428958666952758,0.00403955366230784,0.00350217393712679,0.364524293963684,0.00169987852881637,-0.377334574603065,0.761303104496988,422.779454846903,310.605581558929,-211.389727423452,14.6222092263882,2.32919628247603,165.052606650236,181.742157460596,13.7772897819729,0.430857911667768,-82.526303325118,13.7772897819729,43.3719728775244,0.120477702437568
"59",11,"Exp4","Exp4",0.0448411089563622,0.384874600393212,0.047276824605677,0.00726832120480278,0.124274336050699,0.00353974991821313,-0.0107492256296591,0.0689153477445137,449.06811956781,302.759428646465,-224.534059783905,6.62508244670851,2.29784915226557,205.452252144617,180.951494934869,5.0159582573878,0.399088986835075,-102.726126072309,5.0159582573878,22.527729092706,0.0625770252575167
"60",12,"Exp4","Exp4",0.0487381373063129,0.516021269327657,0.0165256244613523,0.00786197794691135,0.205109403390546,0.0100192147352305,0.108653857995889,0.100170609602005,583.330702962268,305.669073855334,-291.665351481134,6.71471065780748,2.28863119027463,333.316463273498,180.661954010949,4.99599940413355,0.391449951006577,-166.658231636749,4.99599940413355,-41.6167157201912,-0.116247809274277
"61",13,"Exp4","Exp4",0.0324470954941896,0.493823231825564,0.00561891857964022,0.00519009187775531,0.179800035693419,0.00114618520784368,-0.240224180265756,0.0709857279950127,238.925662424334,309.880218930382,-119.462831212167,8.90072040662705,2.38738266931522,-18.5629566779887,181.135909379221,7.44954051225298,0.418701843387407,9.28147833899433,7.44954051225298,134.788507562917,0.374412521008104
"62",14,"Exp4","Exp4",0.0332429425754691,0.419334601148672,0.00480061978936851,0.00519496631876391,0.247757585018216,0.00326669015691011,-0.0720706683718488,0.114211340945606,436.289505880725,308.314476652922,-218.144752940362,9.54323602692208,2.39515689387154,181.706786619041,181.02311702208,8.39455420211181,0.406561415968838,-90.8533933095205,8.39455420211181,34.5511133452702,0.0962426555578556
"63",15,"Exp4","Exp4",0.0214653551045213,0.443020702127964,0.00887384070852278,0.00340255842088243,0.353157279486487,0.0124804421139096,0.105158199048735,0.307035652261407,534.537387044498,303.107386462809,-267.268693522249,8.97781279489806,2.32407091794641,289.736525563957,180.706955722538,7.90275401190516,0.411019923020653,-144.868262781978,7.90275401190516,-19.9552564652587,-0.0554312679590519
"64",16,"Exp4","Exp4",0.0230810246547459,0.465079939314407,0.00504619550692152,0.00368654332780534,0.303538290342967,0.00402559860714696,-0.524234203234861,0.205741813346935,352.290635731514,309.626085499068,-176.145317865757,10.5461374474504,2.51059369138398,97.3362443179829,182.148889792303,9.60240643796144,0.403358193501909,-48.6681221589915,9.60240643796144,77.4529121377721,0.215146978160478
"65",1,"Exp5","Exp5",0.00614891019824955,0.18994827761193,0.00655706245256582,0.00262308511160987,0.166231251096245,0.00287194390995297,-0.330665827149134,0.0877942579859111,390.203371571461,607.690379876929,-195.10168578573,14.2885503093335,3.10445629064284,-102.461223091285,361.358082545556,12.6967354376503,0.552451665044484,51.2306115456427,12.6967354376503,301.383512127984,0.418588211288866
"66",2,"Exp5","Exp5",0.0142641947413174,0.36676353544771,0.00222463005741654,0.00122590743801427,0.307377302669608,0.00669853102177392,0.341637925596363,0.158916213733119,625.582705985706,610.051488004602,-312.791352992853,12.7743021529827,3.29120524568875,127.928699197564,361.224484610531,11.1735994210147,0.57815203263407,-63.964349598782,11.1735994210147,186.088090977645,0.258455681913396
"67",3,"Exp5","Exp5",0.00556478606439021,0.445924364216587,0.00485218679836321,0.00175239650819009,0.313124290469843,0.00179860008062588,0.246894242529786,0.102981421239529,281.025135758834,605.520186079177,-140.512567879417,16.3650163085116,2.93946941259316,-207.62129722422,361.196969587649,15.1987040885104,0.545722740778624,103.81064861211,15.1987040885104,353.832892007951,0.491434572233265
